business_code,cust_number,name_customer,clear_date,business_year,doc_id,posting_date,document_create_date,document_create_date_alt,due_in_date,invoice_currency,document_type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U001,0200772670,ASSOCIAT associates,2019-08-12 00:00:00,2019.0,1929671263.0,2019-07-28,20190728,20190728,20190812.0,USD,RV,1.0,,85119.44,20190728.0,NAU5,1929671263.0,0
U001,0200718130,SYSCO F in,2019-03-07 00:00:00,2019.0,1928825910.0,2019-02-19,20190219,20190219,20190306.0,USD,RV,1.0,,13731.58,20190219.0,NAA8,1928825910.0,0
U001,0200723794,MID MO llc,2019-11-12 00:00:00,2019.0,1929797278.0,2019-08-27,20190827,20190827,20191110.0,USD,RV,1.0,,1313.48,20190827.0,NAWN,1929797278.0,0
U001,0200769623,WAL-MAR llc,2019-12-16 00:00:00,2019.0,1930213787.0,2019-12-03,20191203,20191203,20191218.0,USD,RV,1.0,,1897.5,20191203.0,NAH4,1930213787.0,0
U001,0200769623,WAL-MAR foundation,2019-09-30 00:00:00,2019.0,1929861079.0,2019-09-11,20190911,20190911,20190926.0,USD,RV,1.0,,14383.84,20190911.0,NAH4,1929861079.0,0
U001,0200707822,PUBLI associates,2020-02-13 00:00:00,2020.0,1930454266.0,2020-01-29,20200129,20200129,20200213.0,USD,RV,1.0,,82403.06,20200129.0,NAA8,1930454266.0,0
U001,0200416837,DEC trust,2019-07-12 00:00:00,2019.0,1929571857.0,2019-07-03,20190703,20190703,20190708.0,USD,RV,1.0,,1832.8,20190701.0,NAM1,1929571857.0,0
U001,0200774517,I SUPP co,,2020.0,1930663822.0,2020-03-17,20200317,20200317,20200401.0,USD,RV,1.0,,16130.0,20200317.0,NAA8,1930663822.0,1
U001,0200799367,MCL corp,2019-04-26 00:00:00,2019.0,1929083780.0,2019-04-11,20190404,20190411,20190426.0,USD,RV,1.0,,7146.11,20190411.0,NAA8,1929083780.0,0
U001,0200759878,SA systems,2019-12-18 00:00:00,2019.0,1930206768.0,2019-12-01,20191201,20191201,20191216.0,USD,RV,1.0,,51839.55,20191201.0,NAH4,1930206768.0,0
U001,0200769623,WAL-MAR ,2020-03-06 00:00:00,2020.0,1930536353.0,2020-02-19,20200217,20200219,20200305.0,USD,RV,1.0,,8230.51,20200219.0,NAH4,1930536353.0,0
U001,0200749782,KROG us,2019-10-22 00:00:00,2019.0,1929975854.0,2019-10-07,20191006,20191007,20191022.0,USD,RV,1.0,,121354.5,20191007.0,NAA8,1929975854.0,0
U001,0200769623,WAL-MAR llc,2019-12-02 00:00:00,2019.0,1930173625.0,2019-11-20,20191120,20191120,20191205.0,USD,RV,1.0,,6650.19,20191120.0,NAH4,1930173625.0,0
U001,0200466603,SMITH'S corporation,2019-12-02 00:00:00,2019.0,1930158663.0,2019-11-16,20191115,20191116,20191201.0,USD,RV,1.0,,56601.89,20191116.0,NAA8,1930158663.0,0
U001,0200714710,SYSCO  foundation,2019-07-19 00:00:00,2019.0,1929560090.0,2019-07-03,20190702,20190703,20190718.0,USD,RV,1.0,,22520.6,20190703.0,NAA8,1929560090.0,0
U013,0100049747,BIDF co,2019-12-17 00:00:00,2019.0,1991833213.0,2019-10-07,20191003,20191007,20191106.0,USD,RV,1.0,,66917.92,20191007.0,NAUI,1991833213.0,0
U001,200769623,WAL-MAR in,2019-04-10 00:00:00,2019.0,1929021310.0,2019-03-25,20190324,20190325,20190409.0,USD,RV,1.0,,649.77,20190325.0,NAH4,1929021310.0,0
U001,0200726979,BJ'S  llc,2019-10-23 00:00:00,2019.0,1929978454.0,2019-10-08,20191007,20191008,20191023.0,USD,RV,1.0,,683.96,20191008.0,NAA8,1929978454.0,0
U001,0200769623,WAL-MAR corp,2019-04-22 00:00:00,2019.0,1929068485.0,2019-04-02,20190402,20190402,20190417.0,USD,RV,1.0,,782.63,20190402.0,NAH4,1929068485.0,0
U001,0200416837,DEC associates,2019-03-25 00:00:00,2019.0,1928993789.0,2019-03-20,20190320,20190320,20190323.0,USD,RV,1.0,,13868.25,20190316.0,NAM1,1928993789.0,0
U001,0200769623,WAL-MAR us,2020-01-22 00:00:00,2020.0,1930389195.0,2020-01-12,20200110,20200112,20200127.0,USD,RV,1.0,,27607.17,20200112.0,NAH4,1930389195.0,0
U001,0200418007,AM corp,2020-01-15 00:00:00,2020.0,1930331657.0,2019-12-30,20191229,20191230,20200114.0,USD,RV,1.0,,1351.2,20191230.0,NAA8,1930331657.0,0
U001,0200020431,DEC systems,2019-02-01 00:00:00,2019.0,1928697432.0,2019-01-28,20190128,20190128,20190208.0,USD,RV,1.0,,1744.77,20190116.0,NAM4,1928697432.0,0
