customer_id,events,viewed,searched,carted,logged_in,first_seen,last_seen
0000900d-5512-4cdf-8ea5-eded823b2ff8,11,1,0,1,0,2025-09-09 15:49:46.840542+00:00,2025-11-30 21:09:29.486825+00:00
00012d74-f139-44f2-b491-5f710133bdf0,9,1,1,1,0,2025-09-23 01:17:31.737723+00:00,2026-09-02 16:04:48.272489+00:00
0001d23d-737f-44be-8925-61dd0f4031d7,5,1,0,1,1,2025-09-11 00:42:22.354985+00:00,2025-11-13 15:04:49.653623+00:00
00023105-7866-4c55-b677-96f42a8709a1,6,1,1,1,1,2025-10-03 11:05:43.116074+00:00,2025-11-26 01:20:20.802044+00:00
00025fb3-8ccd-4067-91c9-81ad3c523913,8,1,0,1,0,2025-09-05 00:52:53.788053+00:00,2025-11-29 19:21:51.270281+00:00
0003dc69-1deb-4e51-a68f-56348298c4e8,10,1,1,1,0,2025-09-17 17:31:13.815804+00:00,2025-11-30 19:26:49+00:00
0004e170-d021-4651-997f-bf6a23ac9c3f,6,1,0,1,1,2025-09-05 21:38:51.527604+00:00,2025-11-11 19:34:38.835581+00:00
000590d2-2e20-466e-98ea-739f64b71480,10,1,1,1,1,2025-09-15 18:06:46.169852+00:00,2027-06-14 16:04:42.568035+00:00
00061301-6704-4c8d-b289-20ade7f62c5b,7,1,1,0,1,2025-09-11 01:13:42.999085+00:00,2025-11-21 11:42:25.436302+00:00
00061cb2-5dd7-4d14-b912-15c44484818c,9,1,1,1,0,2025-10-26 11:39:18.720923+00:00,2025-11-22 20:49:05.751402+00:00
00071ee9-5f17-4b83-a541-99f9266bd771,6,1,1,0,0,2025-09-07 02:32:46.400428+00:00,2025-11-30 01:18:10.342913+00:00
000902b9-9f90-4e5a-a229-6de22e9f19e1,8,1,0,1,0,2025-09-08 07:11:52.552859+00:00,2025-11-25 05:16:53.400515+00:00
000a9123-7eb0-46ab-a084-0f8b52a8a539,7,1,1,1,0,2025-09-04 00:22:46.148834+00:00,2027-09-02 16:04:54.810286+00:00
000bcf29-1e7e-4776-bbbb-96f96bf7bd32,5,1,1,1,1,2025-09-17 14:26:47.510200+00:00,2025-11-26 02:05:49.440725+00:00
000d8e46-048f-49d7-8ebf-7493114b32f9,5,1,1,0,1,2025-09-03 19:39:08.996013+00:00,2027-01-09 16:04:39.907189+00:00
000d9ae6-a0a4-4bb4-a55c-6cd25243588b,11,1,1,1,1,2025-09-22 09:25:48.063382+00:00,2025-12-01 03:54:08.226585+00:00
000eaccb-7874-4602-b407-621cf436edd1,10,1,1,0,0,2025-09-20 03:01:27.736576+00:00,2025-11-25 12:59:34.138063+00:00
0012ac53-5efa-4a5e-ac0a-016eb6320816,6,1,1,1,1,2025-09-30 15:52:07.233794+00:00,2025-10-31 13:16:55.709577+00:00
00143a12-1f45-4dac-9839-6bba4360ba71,3,1,0,1,0,2025-09-29 03:21:39.782382+00:00,2025-11-23 07:42:30.582774+00:00
0014686b-52d0-4c83-809a-e2d7d03c1036,4,1,0,0,0,2025-09-07 09:33:42.784631+00:00,2025-12-01 11:03:28+00:00
00150b16-fa95-439a-9adc-71debeef2246,5,1,1,1,1,2025-09-23 03:59:33.821438+00:00,2025-11-15 15:16:25.519523+00:00
00150f9f-cbd6-4a74-94ad-9f67b49120bc,7,1,1,0,1,2025-09-19 15:18:17.773170+00:00,2027-05-06 16:04:31.758298+00:00
0015bfaf-c091-446a-9d25-ee04bf125d9b,12,1,1,1,1,2025-09-11 06:44:17.897275+00:00,2027-06-02 16:04:49.143118+00:00
001630fe-3a15-44ae-b963-a04b3440dac4,5,1,0,0,0,2025-09-21 15:14:26.250332+00:00,2025-10-18 10:48:05.288809+00:00
0017f902-08c1-4d79-ab53-5f81168cc8ba,4,1,1,0,0,2025-09-04 00:35:30.424591+00:00,2025-12-27 16:04:33.220337+00:00
001a2f04-2266-4eaf-a4ad-f92b149c0a6d,10,1,1,1,0,2025-09-12 23:50:46.058217+00:00,2025-11-25 03:04:00.377992+00:00
001b714a-b422-41a1-b382-5713df862fcb,6,1,0,1,1,2025-09-02 18:41:45.232643+00:00,2025-11-28 12:09:38.446264+00:00
001b8b58-e0a8-4e67-be40-936817c33c83,11,1,1,1,1,2025-09-07 21:35:16.125659+00:00,2025-12-01 02:38:51.291273+00:00
001bdad6-9626-4b90-ab99-8d70af7511bf,6,1,1,1,0,2025-09-03 08:54:06.714936+00:00,2025-11-21 06:21:57.312246+00:00
001d7c0b-ba05-4f41-b237-42bb309a9471,4,1,0,1,0,2025-09-26 20:23:03.340647+00:00,2025-11-27 22:55:10.013634+00:00
001e62a7-3a5a-46d4-ab60-3ddfd576a285,13,1,1,1,0,2025-09-04 20:07:09.668801+00:00,2025-11-25 10:22:07.447339+00:00
001e89b4-8d38-4648-883f-7dee44de375e,14,1,1,1,1,2025-09-12 18:56:46.531238+00:00,2025-11-17 21:03:52.191134+00:00
001f824c-c4ff-4dff-8425-2700655dec96,6,1,0,1,0,2025-10-08 14:13:38.605191+00:00,2027-11-01 16:04:42.699785+00:00
001ff1f3-c288-4787-b6fe-64d78f70f577,5,1,1,1,0,2025-09-20 11:30:23.109231+00:00,2025-12-01 01:24:51.103197+00:00
002346fc-a2f3-4894-92aa-fa85bad8ed7c,10,1,0,1,0,2025-09-13 20:51:21.850664+00:00,2027-04-18 16:04:55.652270+00:00
0025519f-eccd-437d-a611-a84919084dca,8,1,1,1,1,2025-09-23 23:20:33.706711+00:00,2025-11-17 12:22:30.443077+00:00
00260969-1ac9-4f42-a33d-f42f7d750554,4,1,1,0,1,2025-09-30 11:20:29.825199+00:00,2025-11-09 02:03:34.042228+00:00
002af369-6f4c-44a0-aba9-bc5bd5b07728,5,1,1,0,1,2025-09-27 00:00:15.728232+00:00,2025-11-30 07:18:10.133889+00:00
002bbd5a-3a1d-4c24-bbd1-2d637304cc74,6,1,1,0,1,2025-10-08 10:27:31.717705+00:00,2025-12-01 15:40:33+00:00
002f706e-eab4-42e2-ab1c-a0f3996e3a93,5,1,1,0,1,2025-09-22 05:58:39.740465+00:00,2025-10-30 00:27:26.261193+00:00
002f7be9-274b-4bbf-9ed2-089d6cee2568,7,1,0,1,0,2025-10-03 19:04:29.674033+00:00,2025-11-29 09:51:59.220659+00:00
00301698-558c-49e6-a4c1-aacb692a0f5d,8,1,1,1,0,2025-09-27 20:16:13.247637+00:00,2025-11-24 05:02:29.511560+00:00
0034615b-fbc4-49b6-8903-0353b612d0f3,7,1,1,1,0,2025-09-09 14:37:31.979716+00:00,2025-12-01 08:42:25.963580+00:00
003937a1-6bd3-4472-9174-ea9ca7305394,5,1,1,0,1,2025-09-08 20:09:39.848527+00:00,2025-11-25 13:36:32.098557+00:00
003a5a01-199f-419f-ad7d-9725763b8a8a,2,1,0,1,0,2025-09-14 11:44:30.440867+00:00,2025-11-24 10:27:08.689203+00:00
003c5964-5d65-4b5f-89eb-84a45a9c68aa,8,1,1,1,0,2025-09-03 17:16:30.715919+00:00,2025-11-24 13:58:43.002831+00:00
0042067b-f2b6-4d06-9cdd-e5ecdc90b279,8,1,1,1,1,2025-09-23 12:39:43.320989+00:00,2025-11-14 11:48:01.650395+00:00
0042b1df-d987-408a-a581-43014d70736a,8,1,1,1,1,2025-09-21 10:43:54.222685+00:00,2025-11-26 04:24:18.040368+00:00
0042cf89-eb1d-444d-b54b-0ff54dc69379,3,1,0,0,1,2025-10-05 07:04:46.081718+00:00,2025-11-03 09:02:30.145963+00:00
0042f2f5-064f-422f-b7a0-5b3c4bf3c35a,6,1,1,1,0,2025-09-06 06:12:30.717333+00:00,2025-11-30 14:56:38.465382+00:00
0044bc8d-0397-42d8-8bfe-22980eeda508,6,1,0,1,0,2025-09-10 01:58:16.897482+00:00,2025-11-22 07:41:50.140625+00:00
00451366-7a2f-435c-97d3-df9ad4624d49,3,1,0,1,0,2025-10-11 21:25:25.694241+00:00,2025-10-21 11:54:18.924035+00:00
00451f6f-5751-403e-b6a9-7eb68a61fc0e,9,1,0,1,1,2025-09-05 02:31:49.647673+00:00,2025-11-08 13:09:43.849386+00:00
004533a1-7d99-4986-9823-015f9fdcca82,8,1,1,1,1,2025-10-12 12:27:08.942108+00:00,2025-11-27 01:12:19.865394+00:00
0045acfb-08d8-4ef2-9170-bcd76a5ebdb3,5,1,1,1,0,2025-09-09 00:53:21.452036+00:00,2025-11-18 10:15:09.193983+00:00
0046f307-816c-415d-bc79-3b730065c3d0,10,1,1,0,1,2025-09-07 16:43:11.326214+00:00,2025-11-27 12:43:46.452394+00:00
00475a06-2d30-4cf2-b58f-657af9566c14,11,1,0,1,1,2025-09-17 06:45:32.041630+00:00,2025-11-21 15:45:19.880526+00:00
0047cfef-3e07-4b29-854b-f1cbdb0dc0ce,8,1,1,0,0,2025-09-09 12:25:19.275363+00:00,2025-11-12 05:08:57.690077+00:00
004ac173-d9f9-45d7-a31f-9f6c0da71f46,12,1,1,1,1,2025-09-20 00:52:13.029591+00:00,2027-07-13 16:04:55.824887+00:00
004b281c-d599-46e8-b749-da27cb54d169,15,1,0,1,1,2025-09-04 07:00:29+00:00,2026-12-04 16:04:55.056220+00:00
004bc395-cda3-484c-8e01-4e999f66f14b,6,1,0,0,1,2025-09-05 11:39:20+00:00,2026-12-22 16:04:46.403351+00:00
004c025a-1990-49cb-8927-3125411e85aa,5,1,1,1,1,2025-09-06 02:59:42.466966+00:00,2025-10-20 05:56:11.261660+00:00
